number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
0,2174.740723,59:29.1,00:04.9,0 days 00:00:35.732053,4,32,8,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,normal,,,,,,,,1,9,,,,0.000453248,COMPLETE
1,697.6069336,00:04.9,00:39.2,0 days 00:00:34.345188,4,8,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,normal,,,,,,,,1,9,,,,0.00345191,COMPLETE
2,,00:39.2,01:23.7,0 days 00:00:44.448205,1,96,32,128,3,3,8,8,2,,,,,,,,10,4,5,10,8,8,6,5,,,2,7,8,7,2,7,,,,,,,,,,,,,,,5,8,mixed,mixed,mixed,,3,8,6,,3,2,6,3,,0.000130355,FAIL
3,,01:23.7,02:01.1,0 days 00:00:37.437042,1,128,128,64,3,3,10,7,,,,,,,,,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,mixed,mixed,,,2,3,,,2,10,5,,,0.000146677,FAIL
4,,02:01.1,02:45.2,0 days 00:00:44.086685,1,16,96,16,3,3,,,,,,,,,,,,,,,,,,,,,7,10,2,9,5,,,,,,9,6,2,3,10,,,,,,6,8,normal,normal,mixed,mixed,,,5,5,4,2,6,10,3,0.000624589,FAIL
5,1983.064575,02:45.2,03:22.5,0 days 00:00:37.259372,1,64,128,96,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,normal,normal,normal,,,,,,3,4,1,7,,0.00402744,COMPLETE
6,433.8613281,03:22.5,04:01.5,0 days 00:00:39.054500,1,32,16,32,3,2,,,,,,,,,,,2,5,2,2,10,6,8,2,3,4,,,,,,,,,,,,,,,,,,,,,6,3,normal,mixed,normal,,,10,,,3,9,1,8,,0.000478417,COMPLETE
7,,04:01.5,04:42.7,0 days 00:00:41.183915,2,16,128,32,3,5,3,7,7,3,8,3,4,,,,8,6,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,mixed,mixed,,,7,5,,,2,5,8,,,0.000321016,FAIL
8,185.7624207,04:42.7,05:24.6,0 days 00:00:41.859538,2,32,96,,2,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,9,9,7,,,,,,,,7,7,normal,normal,mixed,mixed,,,1,3,4,10,6,9,7,0.003832389,COMPLETE
9,651.9295654,05:24.6,05:59.1,0 days 00:00:34.507402,3,8,8,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,normal,,,,,,,,1,9,,,,0.001938438,COMPLETE
